iter	Passed	Remaining
629	14057	8255
630	14082	8235
631	14107	8214
632	14133	8194
633	14157	8173
634	14180	8151
635	14204	8129
636	14228	8108
637	14251	8086
638	14276	8065
639	14301	8044
640	14324	8022
641	14348	8001
642	14373	7980
643	14397	7958
644	14422	7938
645	14448	7917
646	14474	7897
647	14501	7877
648	14525	7856
649	14551	7835
650	14578	7815
651	14604	7795
652	14629	7774
653	14654	7752
654	14678	7731
655	14700	7708
656	14726	7688
657	14749	7666
658	14772	7644
659	14795	7621
660	14830	7606
661	14858	7586
662	14886	7566
663	14914	7547
664	14939	7525
665	14967	7506
666	14991	7484
667	15016	7463
668	15041	7442
669	15066	7420
670	15091	7399
671	15112	7376
672	15132	7352
673	15158	7331
674	15181	7309
675	15205	7287
676	15231	7267
677	15257	7246
678	15282	7224
679	15308	7203
680	15332	7182
681	15356	7160
682	15397	7146
683	15420	7123
684	15444	7102
685	15469	7080
686	15490	7057
687	15514	7035
688	15541	7015
689	15565	6993
690	15589	6971
691	15614	6949
692	15639	6928
693	15665	6907
694	15689	6885
695	15714	6863
696	15742	6843
697	15765	6821
698	15790	6799
699	15813	6777
700	15838	6755
701	15865	6735
702	15890	6713
703	15914	6691
704	15939	6669
705	15964	6648
706	15990	6626
707	16018	6606
708	16040	6583
709	16064	6561
710	16089	6539
711	16113	6517
712	16135	6494
713	16160	6473
714	16184	6451
715	16208	6429
716	16233	6407
717	16253	6383
718	16278	6362
719	16305	6340
720	16331	6319
721	16351	6296
722	16374	6273
723	16398	6251
724	16421	6228
725	16446	6207
726	16471	6185
727	16495	6163
728	16520	6141
729	16546	6120
730	16570	6097
731	16597	6076
732	16623	6055
733	16646	6032
734	16672	6011
735	16695	5988
736	16719	5966
737	16743	5944
738	16768	5922
739	16793	5900
740	16818	5878
741	16842	5856
742	16862	5832
743	16883	5809
744	16908	5787
745	16931	5764
746	16954	5742
747	16979	5720
748	17000	5696
749	17024	5674
750	17049	5652
751	17070	5629
752	17094	5607
753	17117	5584
754	17143	5563
755	17167	5540
756	17193	5519
757	17216	5496
758	17238	5473
759	17261	5451
760	17286	5428
761	17310	5406
762	17331	5383
763	17356	5361
764	17381	5339
765	17405	5317
766	17429	5294
767	17454	5272
768	17477	5250
769	17503	5228
770	17529	5206
771	17554	5184
772	17580	5162
773	17605	5140
774	17632	5118
775	17655	5096
776	17681	5074
777	17705	5052
778	17730	5029
779	17753	5007
780	17778	4985
781	17803	4963
782	17822	4939
783	17849	4917
784	17873	4895
785	17896	4872
786	17920	4850
787	17944	4827
788	17966	4804
789	17992	4782
790	18013	4759
791	18033	4735
792	18055	4713
793	18076	4689
794	18103	4668
795	18127	4645
796	18154	4623
797	18179	4601
798	18204	4579
799	18230	4557
800	18256	4535
801	18282	4513
802	18308	4491
803	18336	4470
804	18363	4448
805	18392	4426
806	18421	4405
807	18453	4385
808	18489	4365
809	18523	4345
810	18552	4323
811	18579	4301
812	18618	4282
813	18647	4261
814	18674	4238
815	18717	4220
816	18746	4199
817	18769	4176
818	18789	4152
819	18809	4129
820	18844	4108
821	18872	4086
822	18896	4064
823	18921	4041
824	18947	4019
825	18973	3996
826	18997	3974
827	19023	3951
828	19048	3929
829	19072	3906
830	19099	3884
831	19125	3861
832	19151	3839
833	19177	3817
834	19201	3794
835	19227	3771
836	19252	3749
837	19277	3726
838	19303	3704
839	19329	3681
840	19357	3659
841	19384	3637
842	19413	3615
843	19439	3593
844	19466	3570
845	19495	3548
846	19525	3527
847	19553	3504
848	19582	3482
849	19610	3460
850	19636	3438
851	19659	3414
852	19685	3392
853	19709	3369
854	19733	3346
855	19759	3324
856	19786	3301
857	19812	3279
858	19838	3256
859	19862	3233
860	19888	3210
861	19915	3188
862	19939	3165
863	19962	3142
864	19989	3119
865	20017	3097
866	20047	3075
867	20074	3052
868	20099	3029
869	20126	3007
870	20153	2984
871	20181	2962
872	20206	2939
873	20233	2917
874	20259	2894
875	20285	2871
876	20309	2848
877	20333	2825
878	20357	2802
879	20383	2779
880	20408	2756
881	20431	2733
882	20456	2710
883	20483	2687
884	20507	2664
885	20534	2642
886	20557	2618
887	20582	2596
888	20607	2573
889	20632	2550
890	20658	2527
891	20683	2504
892	20708	2481
893	20733	2458
894	20758	2435
895	20783	2412
896	20809	2389
897	20836	2366
898	20862	2343
899	20887	2320
900	20913	2297
901	20938	2274
902	20962	2251
903	20987	2228
904	21013	2205
905	21038	2182
906	21063	2159
907	21088	2136
908	21107	2113
909	21132	2089
910	21156	2066
911	21182	2043
912	21207	2020
913	21228	1997
914	21249	1974
915	21273	1950
916	21297	1927
917	21319	1904
918	21343	1881
919	21364	1857
920	21389	1834
921	21413	1811
922	21436	1788
923	21461	1765
924	21484	1742
925	21506	1718
926	21530	1695
927	21554	1672
928	21574	1648
929	21597	1625
930	21622	1602
931	21649	1579
932	21674	1556
933	21699	1533
934	21723	1510
935	21747	1487
936	21771	1463
937	21795	1440
938	21820	1417
939	21845	1394
940	21872	1371
941	21897	1348
942	21921	1325
943	21945	1301
944	21968	1278
945	21990	1255
946	22015	1232
947	22039	1208
948	22063	1185
949	22088	1162
950	22113	1139
951	22138	1116
952	22160	1092
953	22182	1069
954	22205	1046
955	22232	1023
956	22259	1000
957	22284	976
958	22309	953
959	22335	930
960	22357	907
961	22380	884
962	22403	860
963	22427	837
964	22452	814
965	22471	790
966	22495	767
967	22518	744
968	22541	721
969	22563	697
970	22585	674
971	22623	651
972	22650	628
973	22673	605
974	22692	581
975	22714	558
